"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_13532","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_5218","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_10316","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_34334","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_17897","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_6706","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_5164","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_5415","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_10870","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","unclassified","unclassified","unclassified"
"OTU_11441","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_3889","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_10440","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_8742","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_8678","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_13374","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_7607","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_3603","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_2931","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_9847","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_5846","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_16816","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_10116","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_10020","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_2930","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_7136","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_4694","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_3261","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_7019","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_4578","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_10479","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_4688","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_10346","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_9239","Bacteria","Elusimicrobia","Elusimicrobia","IIb","unclassified","unclassified","unclassified"
"OTU_2651","Bacteria","Elusimicrobia","Elusimicrobia","unclassified","unclassified","unclassified","unclassified"
"OTU_17919","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_15691","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_5835","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_30043","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_4837","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_9875","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_7677","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_3525","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_11621","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_7638","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_4265","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_3890","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_6025","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_29700","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","unclassified","unclassified","unclassified"
"OTU_6021","Bacteria","Elusimicrobia","Endomicrobia","unclassified","unclassified","unclassified","unclassified"
"OTU_11898","Bacteria","Elusimicrobia","Endomicrobia","unclassified","unclassified","unclassified","unclassified"
"OTU_6609","Bacteria","Elusimicrobia","Endomicrobia","unclassified","unclassified","unclassified","unclassified"
"OTU_6957","Bacteria","Elusimicrobia","Endomicrobia","unclassified","unclassified","unclassified","unclassified"
"OTU_10836","Bacteria","Elusimicrobia","Endomicrobia","unclassified","unclassified","unclassified","unclassified"
"OTU_12763","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_7535","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_4648","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_14543","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_2156","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_10196","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_28762","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_28921","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_1750","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_3540","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_7323","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_4659","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_3738","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_29910","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_7031","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_8449","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_3799","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_8416","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
