"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"56","OTU_02363","Bacteria","Chloroflexi","TK17",NA,NA,NA,NA,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0
"57","OTU_02368","Bacteria","Chlamydiae","Chlamydiia",NA,NA,NA,NA,0,0,0.01,0.02,0,0.03,0.01,0.15,0,0,0.01,0,0,0.15,0.16,0.04,0,0.01,0.01,0,0,0,0,0.07,0,0.03,0,0
"58","OTU_02373","Bacteria","Tenericutes","CK-1C4-19",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
"59","OTU_02410","Bacteria","Verrucomicrobia","Verruco-5",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0
"60","OTU_02472","Bacteria","Chloroflexi","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","OTU_02511","Bacteria","OP11","WCHB1-64",NA,NA,NA,NA,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0
"63","OTU_02563","Bacteria","Acidobacteria","Sva0725",NA,NA,NA,NA,0,0,0,0,0.14,0,0,0.01,0,0,0,0,0,0,0.04,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"64","OTU_02569","Bacteria","AD3","JG37-AG-4",NA,NA,NA,NA,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","OTU_02580","Bacteria","Cyanobacteria","4C0d-2",NA,NA,NA,NA,0,0,0,0.01,0,0,0,0.05,0,0,0,0,0,0.01,0,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0.01
"66","OTU_02662","Bacteria","Verrucomicrobia","unclassified",NA,NA,NA,NA,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","OTU_02788","Bacteria","Spirochaetes","Spirochaetes",NA,NA,NA,NA,0,0,0.06,0.01,0,0.01,0,0.02,0,0.01,0.01,0.04,0.06,0.01,0,0.02,0,0,0,0,0,0,0.04,0.01,0,0,0,0
"70","OTU_02804","Bacteria","TM6","SJA-4",NA,NA,NA,NA,0,0,0,0,0.12,0.05,0,0.31,0.01,0.01,0,0,0,0.05,0,0.05,0,0.02,0.04,0.01,0,0,0,0.08,0,0.05,0.01,0
"71","OTU_02808","Bacteria","Acidobacteria","BPC102",NA,NA,NA,NA,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","OTU_02822","Bacteria","TM6","F38",NA,NA,NA,NA,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","OTU_02836","Bacteria","Elusimicrobia","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","OTU_03006","Bacteria","OC31","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","OTU_03013","Bacteria","Fibrobacteres","Fibrobacteria",NA,NA,NA,NA,0,0,0,0,0,0.01,0,0.09,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"81","OTU_03019","Bacteria","Chlorobi","Ignavibacteria",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","OTU_03085","Bacteria","TM7","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"83","OTU_03105","Bacteria","WS6","B142",NA,NA,NA,NA,0,0,0,0,0,0.02,0,0.04,0,0.01,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0.01,0,0,0,0.01
"84","OTU_03212","Bacteria","Planctomycetes","OM190",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"85","OTU_03215","Bacteria","Cyanobacteria","Nostocophycideae",NA,NA,NA,NA,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","OTU_03398","Bacteria","Acidobacteria","Chloracidobacteria",NA,NA,NA,NA,0,0,0,0,0,0,0,0.05,0.02,0,0,0,0,0,0.03,0.01,0,0.01,0.02,0,0,0,0,0,0,0,0,0
"91","OTU_03469","Bacteria","GAL15","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","OTU_03509","Bacteria","Armatimonadetes","Fimbriimonadia",NA,NA,NA,NA,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"94","OTU_03545","Bacteria","Chloroflexi","Thermomicrobia",NA,NA,NA,NA,0,0,0,0,0,0,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","OTU_03565","Bacteria","Firmicutes","Erysipelotrichi",NA,NA,NA,NA,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","OTU_03665","Bacteria","Chloroflexi","Ktedonobacteria",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","OTU_03694","Bacteria","Chlorobi","SJA-28",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
